n,1,2
1,  9.869, 9.969
2,  5.945, 5.976
3,  4.708, 4.606
4,  3.859, 3.584
5,  3.532, 3.812
6,  3.418, 4.224
7,  3.161, 3.247
8,  3.489, 3.542
9,  2.874, 2.879
10, 3.205, 2.722
11, 2.572, 2.655
12, 2.511, 2.702
13, 2.565, 2.834
14, 2.558, 3.049
15, 2.946, 2.597
16, 2.524, 2.478
17, 2.849, 2.421
18, 2.372, 2.546
19, 2.372, 2.338
20, 2.462, 2.315
21, 2.313, 2.288
22, 2.364, 2.649
23, 2.318, 2.414
24, 2.390, 2.377
25, 2.268, 2.266
26, 2.504, 2.425
27, 2.225, 2.209
28, 2.187, 2.226
29, 2.500, 2.458
30, 2.451, 2.424
31, 2.364, 2.285
32, 2.407, 2.373
